Customer Segment,Product Category,Region,dt,Sales
Consumer,Furniture,East,08/01/2016,3596.03
Consumer,Furniture,East,09/01/2016,5362.72
Consumer,Furniture,East,10/01/2016,30706.84
Consumer,Furniture,East,01/01/2017,299.65
Consumer,Furniture,East,03/01/2017,2920.42
Consumer,Furniture,East,04/01/2017,2670.59
Consumer,Furniture,East,05/01/2017,4820.94
Consumer,Furniture,East,06/01/2017,12690.11
Consumer,Furniture,East,07/01/2017,3397.19
Consumer,Furniture,East,08/01/2017,8.12
Consumer,Furniture,East,09/01/2017,2615.6
Consumer,Furniture,East,10/01/2017,3235.26
Consumer,Furniture,East,11/01/2017,6329.61
Consumer,Furniture,East,12/01/2017,7775.95
Consumer,Furniture,East,01/01/2018,4469.73
Consumer,Furniture,East,02/01/2018,801.04
Consumer,Furniture,East,03/01/2018,2497.94
Consumer,Furniture,East,04/01/2018,15.13
Consumer,Furniture,East,06/01/2018,544.61
Consumer,Furniture,East,08/01/2018,12784.19
Consumer,Furniture,East,09/01/2018,2558.99
Consumer,Furniture,East,11/01/2018,4741.04
Consumer,Furniture,East,12/01/2018,604.31
Consumer,Furniture,East,01/01/2019,69.37
Consumer,Furniture,East,02/01/2019,4970.5
Consumer,Furniture,East,03/01/2019,2160.18
Consumer,Furniture,East,04/01/2019,4995.78
Consumer,Furniture,East,05/01/2019,222.62
Consumer,Furniture,East,06/01/2019,6550.67
Consumer,Furniture,East,07/01/2019,11123.07
Consumer,Furniture,East,08/01/2019,4614.37
Consumer,Furniture,East,09/01/2019,3850.85
Consumer,Furniture,East,10/01/2019,1830.74
Consumer,Furniture,East,11/01/2019,1737.69
Consumer,Furniture,East,12/01/2019,1281.55
Consumer,Furniture,South,01/01/2016,992.63
Consumer,Furniture,South,02/01/2016,350.48
Consumer,Furniture,South,03/01/2016,2614.45
Consumer,Furniture,South,04/01/2016,7413.55
Consumer,Furniture,South,05/01/2016,2860.05
Consumer,Furniture,South,07/01/2016,1336.35
Consumer,Furniture,South,08/01/2016,894.88
Consumer,Furniture,South,09/01/2016,198.67
Consumer,Furniture,South,10/01/2016,2161.88
Consumer,Furniture,South,12/01/2016,605.82
Consumer,Furniture,South,01/01/2017,1358.02
Consumer,Furniture,South,02/01/2017,1346
Consumer,Furniture,South,03/01/2017,10.89
Consumer,Furniture,South,04/01/2017,62.6
Consumer,Furniture,South,05/01/2017,3950.43
Consumer,Furniture,South,06/01/2017,834.1
Consumer,Furniture,South,07/01/2017,978.41
Consumer,Furniture,South,08/01/2017,5376.7
Consumer,Furniture,South,09/01/2017,1467.01
Consumer,Furniture,South,10/01/2017,321.08
Consumer,Furniture,South,12/01/2017,122.4
Consumer,Furniture,South,01/01/2018,592.86
Consumer,Furniture,South,04/01/2018,3490.5
Consumer,Furniture,South,05/01/2018,425.88
Consumer,Furniture,South,06/01/2018,385.37
Consumer,Furniture,South,07/01/2018,419.59
Consumer,Furniture,South,10/01/2018,10214.06
Consumer,Furniture,South,11/01/2018,14741.01
Consumer,Furniture,South,01/01/2019,557.01
Consumer,Furniture,South,02/01/2019,3049.63
Consumer,Furniture,South,03/01/2019,1367.44
Consumer,Furniture,South,04/01/2019,3176.01
Consumer,Furniture,South,06/01/2019,1241.62
Consumer,Furniture,South,07/01/2019,403.86
Consumer,Furniture,South,08/01/2019,439.45
Consumer,Furniture,South,09/01/2019,4912.13
Consumer,Furniture,South,10/01/2019,1384.62
Consumer,Furniture,South,11/01/2019,4198.21
Consumer,Furniture,South,12/01/2019,2983.03
Consumer,Furniture,West,02/01/2016,9819.63
Consumer,Furniture,West,03/01/2016,6776.86
Consumer,Furniture,West,05/01/2016,9383.44
Consumer,Furniture,West,06/01/2016,212.17
Consumer,Furniture,West,07/01/2016,6499.87
Consumer,Furniture,West,08/01/2016,7050.19
Consumer,Furniture,West,09/01/2016,668.38
Consumer,Furniture,West,10/01/2016,7705.12
Consumer,Furniture,West,11/01/2016,700.41
Consumer,Furniture,West,12/01/2016,1721.24
Consumer,Furniture,West,01/01/2017,6882.22
Consumer,Furniture,West,03/01/2017,897.87
Consumer,Furniture,West,04/01/2017,1365.63
Consumer,Furniture,West,05/01/2017,18434.11
Consumer,Furniture,West,06/01/2017,125.86
Consumer,Furniture,West,07/01/2017,5660.93
Consumer,Furniture,West,08/01/2017,284.48
Consumer,Furniture,West,10/01/2017,1047.19
Consumer,Furniture,West,11/01/2017,1775.81
Consumer,Furniture,West,12/01/2017,401.79
Consumer,Furniture,West,01/01/2018,31076.4
Consumer,Furniture,West,02/01/2018,6003.18
Consumer,Furniture,West,03/01/2018,2151.57
Consumer,Furniture,West,05/01/2018,730.27
Consumer,Furniture,West,06/01/2018,267.85
Consumer,Furniture,West,07/01/2018,5603.68
Consumer,Furniture,West,08/01/2018,8555.37
Consumer,Furniture,West,09/01/2018,190.9
Consumer,Furniture,West,10/01/2018,3464.81
Consumer,Furniture,West,11/01/2018,179.64
Consumer,Furniture,West,12/01/2018,14737.54
Consumer,Furniture,West,02/01/2019,7748.36
Consumer,Furniture,West,03/01/2019,14375.08
Consumer,Furniture,West,04/01/2019,6561.58
Consumer,Furniture,West,06/01/2019,4607.85
Consumer,Furniture,West,07/01/2019,13376.03
Consumer,Furniture,West,08/01/2019,7890.88
Consumer,Furniture,West,09/01/2019,2826.37
Consumer,Furniture,West,10/01/2019,21675.39
Consumer,Furniture,West,11/01/2019,3830.33
Consumer,Furniture,West,12/01/2019,1554.58
Consumer,Office Supplies,Central,01/01/2016,225.36
Consumer,Office Supplies,Central,02/01/2016,62.8
Consumer,Office Supplies,Central,03/01/2016,419.37
Consumer,Office Supplies,Central,04/01/2016,252.73
Consumer,Office Supplies,Central,05/01/2016,145.42
Consumer,Office Supplies,Central,06/01/2016,47.4
Consumer,Office Supplies,Central,07/01/2016,269.1
Consumer,Office Supplies,Central,08/01/2016,545.43
Consumer,Office Supplies,Central,09/01/2016,1428.34
Consumer,Office Supplies,Central,10/01/2016,1148.24
Consumer,Office Supplies,Central,11/01/2016,536.23
Consumer,Office Supplies,Central,12/01/2016,1529.73
Consumer,Office Supplies,Central,01/01/2017,202.49
Consumer,Office Supplies,Central,02/01/2017,1130.11
Consumer,Office Supplies,Central,03/01/2017,1984.98
Consumer,Office Supplies,Central,04/01/2017,786.89
Consumer,Office Supplies,Central,05/01/2017,902.38
Consumer,Office Supplies,Central,06/01/2017,364.18
Consumer,Office Supplies,Central,07/01/2017,142.84
Consumer,Office Supplies,Central,08/01/2017,1320.19
Consumer,Office Supplies,Central,09/01/2017,73.54
Consumer,Office Supplies,Central,10/01/2017,432.8
Consumer,Office Supplies,Central,11/01/2017,2027.14
Consumer,Office Supplies,Central,12/01/2017,6580.23
Consumer,Office Supplies,Central,01/01/2018,1044.67
Consumer,Office Supplies,Central,02/01/2018,2027.74
Consumer,Office Supplies,Central,03/01/2018,1073.6
Consumer,Office Supplies,Central,04/01/2018,3426.25
Consumer,Office Supplies,Central,05/01/2018,1952.11
Consumer,Office Supplies,Central,06/01/2018,15761.91
Consumer,Office Supplies,Central,07/01/2018,643.74
Consumer,Office Supplies,Central,09/01/2018,3671.82
Consumer,Office Supplies,Central,10/01/2018,1353.67
Consumer,Office Supplies,Central,11/01/2018,1096.79
Consumer,Office Supplies,Central,12/01/2018,2258.41
Consumer,Office Supplies,Central,01/01/2019,1223.12
Consumer,Office Supplies,Central,02/01/2019,306.75
Consumer,Office Supplies,Central,03/01/2019,2611.56
Consumer,Office Supplies,Central,04/01/2019,230.92
Consumer,Office Supplies,Central,05/01/2019,340.1
Consumer,Office Supplies,Central,06/01/2019,1641.12
Consumer,Office Supplies,Central,07/01/2019,878.75
Consumer,Office Supplies,Central,08/01/2019,24921.41
Consumer,Office Supplies,Central,09/01/2019,4273.43
Consumer,Office Supplies,Central,10/01/2019,6473.95
Consumer,Office Supplies,Central,11/01/2019,385.83
Consumer,Office Supplies,Central,12/01/2019,1391.94
Consumer,Office Supplies,East,01/01/2016,1112.11
Consumer,Office Supplies,East,02/01/2016,84.01
Consumer,Office Supplies,East,04/01/2016,395.12
Consumer,Office Supplies,East,05/01/2016,818.81
Consumer,Office Supplies,East,06/01/2016,3044.96
Consumer,Office Supplies,East,07/01/2016,51.64
Consumer,Office Supplies,East,08/01/2016,10655.13
Consumer,Office Supplies,East,09/01/2016,216.67
Consumer,Office Supplies,East,10/01/2016,1777.79
Consumer,Office Supplies,East,12/01/2016,2366.96
Consumer,Office Supplies,East,01/01/2017,364.33
Consumer,Office Supplies,East,02/01/2017,3864.68
Consumer,Office Supplies,East,03/01/2017,607.96
Consumer,Office Supplies,East,04/01/2017,264.02
Consumer,Office Supplies,East,05/01/2017,1238.3
Consumer,Office Supplies,East,06/01/2017,716.69
Consumer,Office Supplies,East,07/01/2017,679
Consumer,Office Supplies,East,08/01/2017,1603.43
Consumer,Office Supplies,East,09/01/2017,4558.87
Consumer,Office Supplies,East,10/01/2017,1127.21
Consumer,Office Supplies,East,11/01/2017,7383.28
Consumer,Office Supplies,East,12/01/2017,187.6
Consumer,Office Supplies,East,01/01/2018,382.79
Consumer,Office Supplies,East,03/01/2018,333.43
Consumer,Office Supplies,East,04/01/2018,131.76
Consumer,Office Supplies,East,05/01/2018,798.28
Consumer,Office Supplies,East,06/01/2018,1833.98
Consumer,Office Supplies,East,07/01/2018,80.36
Consumer,Office Supplies,East,08/01/2018,756.8
Consumer,Office Supplies,East,09/01/2018,4933.88
Consumer,Office Supplies,East,10/01/2018,3212.82
Consumer,Office Supplies,East,11/01/2018,1064.9
Consumer,Office Supplies,East,12/01/2018,7344.68
Consumer,Office Supplies,East,01/01/2019,3709.31
Consumer,Office Supplies,East,02/01/2019,40.94
Consumer,Office Supplies,East,03/01/2019,2628.62
Consumer,Office Supplies,East,04/01/2019,4807.7
Consumer,Office Supplies,East,05/01/2019,2276.78
Consumer,Office Supplies,East,06/01/2019,841.96
Consumer,Office Supplies,East,07/01/2019,1223.32
Consumer,Office Supplies,East,08/01/2019,5763.37
Consumer,Office Supplies,East,09/01/2019,4301.58
Consumer,Office Supplies,East,10/01/2019,2953.67
Consumer,Office Supplies,East,11/01/2019,5615.07
Consumer,Office Supplies,East,12/01/2019,8612.96
Consumer,Office Supplies,South,01/01/2016,1114.82
Consumer,Office Supplies,South,02/01/2016,420.18
Consumer,Office Supplies,South,03/01/2016,1370.1
Consumer,Office Supplies,South,04/01/2016,923.9
Consumer,Office Supplies,South,05/01/2016,768.23
Consumer,Office Supplies,South,06/01/2016,7708.88
Consumer,Office Supplies,South,07/01/2016,2849.07
Consumer,Office Supplies,South,10/01/2016,2316.26
Consumer,Office Supplies,South,11/01/2016,2293.1
Consumer,Office Supplies,South,12/01/2016,1779.14
Consumer,Office Supplies,South,01/01/2017,2474.62
Consumer,Office Supplies,South,02/01/2017,337.24
Consumer,Office Supplies,South,03/01/2017,425.16
Consumer,Office Supplies,South,04/01/2017,1285.34
Consumer,Office Supplies,South,05/01/2017,1851.27
Consumer,Office Supplies,South,06/01/2017,4934.72
Consumer,Office Supplies,South,07/01/2017,1840.43
Consumer,Office Supplies,South,08/01/2017,1321.83
Consumer,Office Supplies,South,09/01/2017,2240.55
Consumer,Office Supplies,South,10/01/2017,4256.42
Consumer,Office Supplies,South,11/01/2017,7998.16
Consumer,Office Supplies,South,12/01/2017,388.42
Consumer,Office Supplies,South,01/01/2018,3795.69
Consumer,Office Supplies,South,02/01/2018,1992.23
Consumer,Office Supplies,South,03/01/2018,4094.1
Consumer,Office Supplies,South,04/01/2018,420.63
Consumer,Office Supplies,South,05/01/2018,1840.53
Consumer,Office Supplies,South,06/01/2018,1991
Consumer,Office Supplies,South,07/01/2018,160.93
Consumer,Office Supplies,South,08/01/2018,2548.73
Consumer,Office Supplies,South,09/01/2018,405.77
Consumer,Office Supplies,South,10/01/2018,986.81
Consumer,Office Supplies,South,11/01/2018,2231.83
Consumer,Office Supplies,South,12/01/2018,814.85
Consumer,Office Supplies,South,01/01/2019,232.89
Consumer,Office Supplies,South,02/01/2019,296.1
Consumer,Office Supplies,South,03/01/2019,973.59
Consumer,Office Supplies,South,04/01/2019,4390.73
Consumer,Office Supplies,South,05/01/2019,2317.51
Consumer,Office Supplies,South,06/01/2019,602.59
Consumer,Office Supplies,South,07/01/2019,759.16
Consumer,Office Supplies,South,08/01/2019,4151.1
Consumer,Office Supplies,South,09/01/2019,715.86
Consumer,Office Supplies,South,10/01/2019,1108.6
Consumer,Office Supplies,South,11/01/2019,1390.9
Consumer,Office Supplies,South,12/01/2019,314.37
Consumer,Office Supplies,West,01/01/2016,535.2
Consumer,Office Supplies,West,02/01/2016,233.51
Consumer,Office Supplies,West,03/01/2016,881.32
Consumer,Office Supplies,West,04/01/2016,387.46
Consumer,Office Supplies,West,05/01/2016,1732.11
Consumer,Office Supplies,West,06/01/2016,875.35
Consumer,Office Supplies,West,07/01/2016,987.19
Consumer,Office Supplies,West,08/01/2016,399.08
Consumer,Office Supplies,West,09/01/2016,140.86
Consumer,Office Supplies,West,10/01/2016,2139.97
Consumer,Office Supplies,West,11/01/2016,3320.6
Consumer,Office Supplies,West,12/01/2016,59.95
Consumer,Office Supplies,West,01/01/2017,87.77
Consumer,Office Supplies,West,02/01/2017,73.12
Consumer,Office Supplies,West,03/01/2017,161.05
Consumer,Office Supplies,West,04/01/2017,5508.49
Consumer,Office Supplies,West,05/01/2017,3376.89
Consumer,Office Supplies,West,06/01/2017,81.4
Consumer,Office Supplies,West,07/01/2017,2117.3
Consumer,Office Supplies,West,08/01/2017,2102.51
Consumer,Office Supplies,West,09/01/2017,715.86
Consumer,Office Supplies,West,10/01/2017,2261.39
Consumer,Office Supplies,West,11/01/2017,12744.25
Consumer,Office Supplies,West,12/01/2017,672.6
Consumer,Office Supplies,West,01/01/2018,4018.31
Consumer,Office Supplies,West,02/01/2018,759.55
Consumer,Office Supplies,West,03/01/2018,166.98
Consumer,Office Supplies,West,04/01/2018,3097.28
Consumer,Office Supplies,West,05/01/2018,806.31
Consumer,Office Supplies,West,06/01/2018,4390.66
Consumer,Office Supplies,West,07/01/2018,687.11
Consumer,Office Supplies,West,08/01/2018,367.32
Consumer,Office Supplies,West,09/01/2018,1235.74
Consumer,Office Supplies,West,10/01/2018,879.46
Consumer,Office Supplies,West,11/01/2018,29163.94
Consumer,Office Supplies,West,12/01/2018,6505.09
Consumer,Office Supplies,West,01/01/2019,2682.7
Consumer,Office Supplies,West,02/01/2019,373.81
Consumer,Office Supplies,West,03/01/2019,1324.69
Consumer,Office Supplies,West,04/01/2019,2182.52
Consumer,Office Supplies,West,05/01/2019,653.37
Consumer,Office Supplies,West,06/01/2019,2752.31
Consumer,Office Supplies,West,07/01/2019,790.01
Consumer,Office Supplies,West,08/01/2019,3746.67
Consumer,Office Supplies,West,09/01/2019,2222.28
Consumer,Office Supplies,West,10/01/2019,14212.99
Consumer,Office Supplies,West,11/01/2019,1155.72
Consumer,Office Supplies,West,12/01/2019,279.49
Consumer,Technology,Central,01/01/2016,1345.52
Consumer,Technology,Central,02/01/2016,4180.6
Consumer,Technology,Central,03/01/2016,1497.22
Consumer,Technology,Central,04/01/2016,1042.54
Consumer,Technology,Central,07/01/2016,3855.28
Consumer,Technology,Central,08/01/2016,1197.82
Consumer,Technology,Central,10/01/2016,296.76
Consumer,Technology,Central,11/01/2016,287.99
Consumer,Technology,Central,12/01/2016,1847.4
Consumer,Technology,Central,02/01/2017,1412.19
Consumer,Technology,Central,04/01/2017,1209.49
Consumer,Technology,Central,05/01/2017,4701.36
Consumer,Technology,Central,06/01/2017,6141.23
Consumer,Technology,Central,08/01/2017,696.04
Consumer,Technology,Central,09/01/2017,4431.34
Consumer,Technology,Central,10/01/2017,4134.87
Consumer,Technology,Central,11/01/2017,12468.04
Consumer,Technology,Central,12/01/2017,215.42
Consumer,Technology,Central,01/01/2018,8116.6
Consumer,Technology,Central,02/01/2018,512.23
Consumer,Technology,Central,04/01/2018,2056.21
Consumer,Technology,Central,05/01/2018,1782.15
Consumer,Technology,Central,06/01/2018,1625.94
Consumer,Technology,Central,07/01/2018,570.01
Consumer,Technology,Central,08/01/2018,246.78
Consumer,Technology,Central,09/01/2018,2839.99
Consumer,Technology,Central,10/01/2018,952.9
Consumer,Technology,Central,11/01/2018,13444.85
Consumer,Technology,Central,12/01/2018,1272.16
Consumer,Technology,Central,01/01/2019,545.67
Consumer,Technology,Central,02/01/2019,768.28
Consumer,Technology,Central,03/01/2019,1123.24
Consumer,Technology,Central,04/01/2019,750.55
Consumer,Technology,Central,05/01/2019,2630.83
Consumer,Technology,Central,06/01/2019,1066.81
Consumer,Technology,Central,07/01/2019,3544.54
Consumer,Technology,Central,08/01/2019,9555.44
Consumer,Technology,Central,09/01/2019,14974.17
Consumer,Technology,Central,10/01/2019,2019.34
Consumer,Technology,Central,11/01/2019,1725.8
Consumer,Technology,Central,12/01/2019,3747.72
Consumer,Technology,East,01/01/2016,659.48
Consumer,Technology,East,02/01/2016,179.51
Consumer,Technology,East,03/01/2016,514.42
Consumer,Technology,East,04/01/2016,657.5
Consumer,Technology,East,05/01/2016,98.77
Consumer,Technology,East,06/01/2016,3010.38
Consumer,Technology,East,07/01/2016,173.32
Consumer,Technology,East,08/01/2016,1013.84
Consumer,Technology,East,10/01/2016,2624.76
Consumer,Technology,East,12/01/2016,36148.78
Consumer,Technology,East,01/01/2017,3239.71
Consumer,Technology,East,02/01/2017,418.14
Consumer,Technology,East,03/01/2017,2563.38
Consumer,Technology,East,04/01/2017,2787.23
Consumer,Technology,East,05/01/2017,846.04
Consumer,Technology,East,06/01/2017,1478.93
Consumer,Technology,East,07/01/2017,196.9
Consumer,Technology,East,08/01/2017,805.14
Consumer,Technology,East,09/01/2017,274.01
Consumer,Technology,East,10/01/2017,13902.44
Consumer,Technology,East,11/01/2017,48941.13
Consumer,Technology,East,12/01/2017,1102.45
Consumer,Technology,East,01/01/2018,896.09
Consumer,Technology,East,02/01/2018,32.54
Consumer,Technology,East,04/01/2018,8308.84
Consumer,Technology,East,05/01/2018,1985.07
Consumer,Technology,East,06/01/2018,5100.05
Consumer,Technology,East,07/01/2018,730.81
Consumer,Technology,East,08/01/2018,2417.56
Consumer,Technology,East,10/01/2018,1931
Consumer,Technology,East,11/01/2018,1573.31
Consumer,Technology,East,12/01/2018,4421.18
Consumer,Technology,East,02/01/2019,9417.88
Consumer,Technology,East,03/01/2019,408.87
Consumer,Technology,East,04/01/2019,1206.41
Consumer,Technology,East,05/01/2019,1931.05
Consumer,Technology,East,06/01/2019,1479.94
Consumer,Technology,East,07/01/2019,3914.36
Consumer,Technology,East,08/01/2019,84.68
Consumer,Technology,East,09/01/2019,1800.55
Consumer,Technology,East,10/01/2019,13872.76
Consumer,Technology,East,11/01/2019,2390.95
Consumer,Technology,East,12/01/2019,1941.74
Consumer,Technology,South,01/01/2016,2826.97
Consumer,Technology,South,02/01/2016,4474.42
Consumer,Technology,South,03/01/2016,21883.33
Consumer,Technology,South,04/01/2016,1002.56
Consumer,Technology,South,05/01/2016,122.93
Consumer,Technology,South,07/01/2016,12804.14
Consumer,Technology,South,08/01/2016,391.4
Consumer,Technology,South,09/01/2016,1158.55
Consumer,Technology,South,10/01/2016,3920.3
Consumer,Technology,South,11/01/2016,615.49
Consumer,Technology,South,12/01/2016,1569
Consumer,Technology,South,01/01/2017,4510.17
Consumer,Technology,South,03/01/2017,851.36
Consumer,Technology,South,05/01/2017,170.49
Consumer,Technology,South,06/01/2017,549.05
Consumer,Technology,South,08/01/2017,964.22
Consumer,Technology,South,09/01/2017,4511.81
Consumer,Technology,South,10/01/2017,665.21
Consumer,Technology,South,11/01/2017,11340.54
Consumer,Technology,South,12/01/2017,223.6
Consumer,Technology,South,01/01/2018,410.23
Consumer,Technology,South,02/01/2018,3891.71
Consumer,Technology,South,03/01/2018,737.47
Consumer,Technology,South,04/01/2018,3613.13
Consumer,Technology,South,05/01/2018,68.1
Consumer,Technology,South,06/01/2018,5939.43
Consumer,Technology,South,07/01/2018,2725.47
Consumer,Technology,South,08/01/2018,728.89
Consumer,Technology,South,09/01/2018,6812.82
Consumer,Technology,South,10/01/2018,2367.39
Consumer,Technology,South,11/01/2018,566.79
Consumer,Technology,South,12/01/2018,1533.35
Consumer,Technology,South,02/01/2019,3277.98
Consumer,Technology,South,03/01/2019,1744.3
Consumer,Technology,South,04/01/2019,1899.01
Consumer,Technology,South,05/01/2019,9811.12
Consumer,Technology,South,06/01/2019,2164.18
Consumer,Technology,South,07/01/2019,3496.4
Consumer,Technology,South,08/01/2019,3955.5
Consumer,Technology,South,09/01/2019,3554.86
Consumer,Technology,South,10/01/2019,13685.53
Consumer,Technology,South,11/01/2019,3291.04
Consumer,Technology,South,12/01/2019,277.11
Consumer,Technology,West,02/01/2016,7570.58
Consumer,Technology,West,03/01/2016,7363.96
Consumer,Technology,West,04/01/2016,4709.27
Consumer,Technology,West,05/01/2016,7734.21
Consumer,Technology,West,06/01/2016,1277.49
Consumer,Technology,West,07/01/2016,3609.03
Consumer,Technology,West,08/01/2016,9136.95
Consumer,Technology,West,09/01/2016,697.34
Consumer,Technology,West,10/01/2016,812.11
Consumer,Technology,West,11/01/2016,893.15
Consumer,Technology,West,12/01/2016,12424.05
Consumer,Technology,West,02/01/2017,220.55
Consumer,Technology,West,03/01/2017,484.74
Consumer,Technology,West,04/01/2017,185.46
Consumer,Technology,West,05/01/2017,4671.83
Consumer,Technology,West,06/01/2017,2016.63
Consumer,Technology,West,08/01/2017,1001.28
Consumer,Technology,West,09/01/2017,14011.33
Consumer,Technology,West,10/01/2017,5789.45
Consumer,Technology,West,11/01/2017,4140.76
Consumer,Technology,West,12/01/2017,2015.39
Consumer,Technology,West,01/01/2018,10943.09
Consumer,Technology,West,02/01/2018,151.78
Consumer,Technology,West,03/01/2018,110.45
Consumer,Technology,West,04/01/2018,28.11
Consumer,Technology,West,05/01/2018,7698.23
Consumer,Technology,West,07/01/2018,19599.62
Consumer,Technology,West,08/01/2018,1539.6
Consumer,Technology,West,09/01/2018,2136.11
Consumer,Technology,West,10/01/2018,11834.98
Consumer,Technology,West,11/01/2018,13422.6
Consumer,Technology,West,12/01/2018,8811.52
Consumer,Technology,West,01/01/2019,1834.14
Consumer,Technology,West,02/01/2019,25628.86
Consumer,Technology,West,03/01/2019,8169.96
Consumer,Technology,West,04/01/2019,8654.48
Consumer,Technology,West,05/01/2019,6309.5
Consumer,Technology,West,06/01/2019,1027.13
Consumer,Technology,West,07/01/2019,2365.88
Consumer,Technology,West,08/01/2019,2869.28
Consumer,Technology,West,09/01/2019,2132.92
Consumer,Technology,West,10/01/2019,16214.87
Consumer,Technology,West,11/01/2019,7219.02
Corporate,Furniture,Central,01/01/2016,1391.42
Corporate,Furniture,Central,02/01/2016,5008.85
Corporate,Furniture,Central,03/01/2016,857.68
Corporate,Furniture,Central,04/01/2016,326.03
Corporate,Furniture,Central,05/01/2016,565.71
Corporate,Furniture,Central,06/01/2016,2300.8
Corporate,Furniture,Central,07/01/2016,431.84
Corporate,Furniture,Central,08/01/2016,8430.86
Corporate,Furniture,Central,09/01/2016,4097.37
Corporate,Furniture,Central,10/01/2016,3781.58
Corporate,Furniture,Central,11/01/2016,5319.12
Corporate,Furniture,Central,12/01/2016,11938.72
Corporate,Furniture,Central,01/01/2017,1553.63
Corporate,Furniture,Central,02/01/2017,2780.61
Corporate,Furniture,Central,03/01/2017,2739.18
Corporate,Furniture,Central,04/01/2017,5359.59
Corporate,Furniture,Central,05/01/2017,4131.39
Corporate,Furniture,Central,06/01/2017,2322.43
Corporate,Furniture,Central,07/01/2017,683.61
Corporate,Furniture,Central,08/01/2017,3320.7
Corporate,Furniture,Central,09/01/2017,42605.86
Corporate,Furniture,Central,10/01/2017,10933.96
Corporate,Furniture,Central,11/01/2017,15898.84
Corporate,Furniture,Central,12/01/2017,5848.38
Corporate,Furniture,Central,01/01/2018,6724.65
Corporate,Furniture,Central,02/01/2018,1204.3
Corporate,Furniture,Central,03/01/2018,15793.04
Corporate,Furniture,Central,04/01/2018,781.42
Corporate,Furniture,Central,05/01/2018,14088.56
Corporate,Furniture,Central,06/01/2018,1069.04
Corporate,Furniture,Central,07/01/2018,3934.67
Corporate,Furniture,Central,08/01/2018,15357.08
Corporate,Furniture,Central,09/01/2018,10843.32
Corporate,Furniture,Central,11/01/2018,2259.15
Corporate,Furniture,Central,12/01/2018,2935.91
Corporate,Furniture,Central,01/01/2019,2858.11
Corporate,Furniture,Central,02/01/2019,1487.47
Corporate,Furniture,Central,03/01/2019,2152.44
Corporate,Furniture,Central,04/01/2019,11278.84
Corporate,Furniture,Central,05/01/2019,9837.41
Corporate,Furniture,Central,06/01/2019,5642.19
Corporate,Furniture,Central,07/01/2019,10050.82
Corporate,Furniture,Central,08/01/2019,10249.16
Corporate,Furniture,Central,09/01/2019,27609.14
Corporate,Furniture,Central,10/01/2019,4642.99
Corporate,Furniture,Central,11/01/2019,11731.03
Corporate,Furniture,Central,12/01/2019,26720.13
Corporate,Furniture,East,01/01/2016,7651.41
Corporate,Furniture,East,02/01/2016,20528.83
Corporate,Furniture,East,03/01/2016,14154.41
Corporate,Furniture,East,06/01/2016,1487.9
Corporate,Furniture,East,07/01/2016,2645.52
Corporate,Furniture,East,08/01/2016,111.86
Corporate,Furniture,East,09/01/2016,283.6
